"20-01-19 Sun 20:32:12.544 INFO  16284 --- [    main] RegistrationServiceApplication           : No active profile set, falling back to default profiles: default
""20-01-19 Sun 20:32:14.064 INFO  16284 --- [    main] GenericScope                             : BeanFactory id=4fb96665-b782-3252-b4ea-7377a7dc0b3b
""20-01-19 Sun 20:32:14.101 INFO  16284 --- [    main] trationDelegate$BeanPostProcessorChecker : Bean 'com.megatravel.service.MainBackendService' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""20-01-19 Sun 20:32:14.203 INFO  16284 --- [    main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$2274ac5e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""20-01-19 Sun 20:32:14.630 INFO  16284 --- [    main] TomcatWebServer                          : Tomcat initialized with port(s): 8446 (https) 8105 (http)
""20-01-19 Sun 20:32:14.713 INFO  16284 --- [    main] StandardService                          : Starting service [Tomcat]
""20-01-19 Sun 20:32:14.714 INFO  16284 --- [    main] StandardEngine                           : Starting Servlet engine: [Apache Tomcat/9.0.17]
""20-01-19 Sun 20:32:14.947 INFO  16284 --- [    main] [/]                                      : Initializing Spring embedded WebApplicationContext
""20-01-19 Sun 20:32:14.950 INFO  16284 --- [    main] ContextLoader                            : Root WebApplicationContext: initialization completed in 2339 ms
""20-01-19 Sun 20:32:15.798 INFO  16284 --- [    main] ChannelProcessingFilter                  : Validated configuration attributes
""20-01-19 Sun 20:32:15.800 INFO  16284 --- [    main] DefaultSecurityFilterChain               : Creating filter chain: any request, [org.springframework.security.web.access.channel.ChannelProcessingFilter@77b3752b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7d0100ea, org.springframework.security.web.context.SecurityContextPersistenceFilter@2d5a1588, org.springframework.security.web.header.HeaderWriterFilter@6518fdfd, org.springframework.security.web.authentication.logout.LogoutFilter@7f0b93b4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@125d47c4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@23468512, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@357bc488, org.springframework.security.web.session.SessionManagementFilter@19489b27, org.springframework.security.web.access.ExceptionTranslationFilter@3dc40ab9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@310b2b6f]
""20-01-19 Sun 20:32:17.064 INFO  16284 --- [    main] DiscoveryJerseyProvider                  : Using JSON encoding codec LegacyJacksonJson
""20-01-19 Sun 20:32:17.066 INFO  16284 --- [    main] DiscoveryJerseyProvider                  : Using JSON decoding codec LegacyJacksonJson
""20-01-19 Sun 20:32:17.269 INFO  16284 --- [    main] DiscoveryJerseyProvider                  : Using XML encoding codec XStreamXml
""20-01-19 Sun 20:32:17.269 INFO  16284 --- [    main] DiscoveryJerseyProvider                  : Using XML decoding codec XStreamXml
""20-01-19 Sun 20:32:17.467 WARN  16284 --- [    main] URLConfigurationSource                   : No URLs will be polled as dynamic configuration sources.
""20-01-19 Sun 20:32:17.468 INFO  16284 --- [    main] URLConfigurationSource                   : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
""20-01-19 Sun 20:32:17.476 WARN  16284 --- [    main] URLConfigurationSource                   : No URLs will be polled as dynamic configuration sources.
""20-01-19 Sun 20:32:17.476 INFO  16284 --- [    main] URLConfigurationSource                   : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
""20-01-19 Sun 20:32:17.661 INFO  16284 --- [    main] ThreadPoolTaskExecutor                   : Initializing ExecutorService 'applicationTaskExecutor'
""20-01-19 Sun 20:32:19.397 INFO  16284 --- [    main] InetUtils                                : Cannot determine local hostname
""20-01-19 Sun 20:32:20.908 INFO  16284 --- [    main] InetUtils                                : Cannot determine local hostname
